,pkg_label,CLASSIFICATION,cv,mean,std
0,pkg_bk,False,LOHO,0.63,0.25
1,pkg_bk,False,LOSO,0.61,0.25
2,pkg_bk,False,ind,0.67,0.17
3,pkg_bk,True,LOHO,0.77,0.12
4,pkg_bk,True,LOSO,0.76,0.11
5,pkg_bk,True,ind,0.77,0.13
6,pkg_dk,False,LOHO,0.43,0.18
7,pkg_dk,False,LOSO,0.41,0.16
8,pkg_dk,False,ind,0.53,0.18
9,pkg_dk,True,LOHO,0.72,0.11
10,pkg_dk,True,LOSO,0.72,0.1
11,pkg_dk,True,ind,0.81,0.09
12,pkg_tremor,False,LOHO,0.32,0.26
13,pkg_tremor,False,LOSO,0.29,0.24
14,pkg_tremor,False,ind,0.4,0.31
15,pkg_tremor,True,LOHO,0.64,0.13
16,pkg_tremor,True,LOSO,0.63,0.12
17,pkg_tremor,True,ind,0.68,0.15
